title,company,date,location,categories,viewers,text
"Mariachi María Bonita, pura IRRESPONSABILIDAD",Mariachi María Bonita,2010-09-20,"Lima,Lima","Servicios,Bodas, Eventos y Servicios relacionados",3928," Deseo ingresar esta queja para que no se dejen sorprender por los Mariachis ""Maria Bonita"", tienen pagina web Link y aparentan ser una empresa seria, contrate los servicios de los mariachis y quede DECEPCIONADA en todos los sentidos: - Llegaron con 45 minutos de retraso. - El sonido estuvo malisimo. - No se les entendia cuando cantaban. - Los atuendos de los mariachis no correspondian al show que prometieron. - Y lo peor de todo, es que llegaron bastante tomados, por no decir borrachos. El sr. J. V., fue un irresponsable en todo el sentido de la palabra, y es el director de la agrupacion. No se dejen engañar y no contraten este servicio, porque en lugar de hacerles pasar un momento agradable y agasajar a una persona especial, pasan por un penoso momento."
"Interbank, banca internet atiende sólo en horario de tienda",Interbank,2010-09-16,"Magdalena del Mar,Lima","Dinero y Finanzas,Bancos",6043," SRES, Cuando abrí mis cuentas con Interbank les pregunté por su Banca Internet para realizar mis transacciones A LOS 24 HORAS. Al parecer no se entendí bien mi PREGUNTA. La BANCA INTERNET de Interbank funciona casi solamente en el horario de tienda. Es increíble que a partir de las 21:00 es casi IMPOSIBLE realizar un pago, además que es casi IMPOSIBLE ingresar... ""lo sentimos estamos trabajando para ..."" aparece para cualquier cosa. Bueno, seré que estoy acostumbrado a mejor atención por parte de los bancos por ser CANADIENSE y cada semana trato por INTERNET con mi banco allá a cualquier hora del día para realizar CUALQUIER TRANSACION. eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_3',124,'0','0'])); me parecen antiguazos en Interbank de oprerar su banca internet solo en horario de TIENDA. Para el colmo, varias veces hubo problema con la clave dinámica, NO FUNCIONABA... ETC. He recibido un token de ellos y hasta ahora... no se puede activar-- Lo estoy guardando en mi museo de la estupidez y ineficiencia. Fijense que para promover espectáculos y cualquier cosa de farándula ya si en este caso no faltan .... mejor se centrarían en lo BANCA. Parece como si nadie sabe operar un Sistema Informática."
Investigación de candidato al Municipio de La Molina,Juan Carlos Martín Zurek Pardo Figueroa,2010-09-15,"Lima,Lima","Gobierno y Política,Partidos Políticos",4196," Estuve indagando datos, de la declaración jurada de vida, al Jurado Nacional de Elecciones, del candidato Juan Carlos Martín Zurek Pardo Figueroa, al Municipio de la Molina, detectando lo siguiente: De las 04 Empresas que declara, SUNAT, informa lo siguiente: 1ro.- La Empresa Carsin SAC, NO registra un numero RUC, para la razón social señalada y en la cual fue Gerente General, de Julio del 2,009 a Junio del 2,010 2do.- Su Empresa Inverpaz SAC, de la cual fue Gerente General, Desde Julio del 2,009, hasta Julio del 2,010, NO tiene Registro RUC de Sunat. 3ro.- La Empresa Constructora, ZM & Asociados, de la cual ocupo el cargo de Asesor, de Junio de 1,998, hasta Diciembre del 2,002, fue dada de baja por oficio por la SUNAT.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_3',124,'0','0'])); En Conclusión: El Sr. Candidato Juan Carlos Martín Zurek Pardo Figueroa, no pudo tener una actividad económica legal, que respalde su costosa campaña, por lo que se debe investigar de donde provienen los recursos. Cuidado vecinos de La Molina."
Tottus apesta,Tottus,2010-09-14,"Arequipa,Arequipa","Tiendas y Comercio,Supermercados",14138," Tengo una queja desde Arequipa de la Señora de recursos humanos que vino a arequipa y se alojo en un hotel 4 estrellas de la plaza de armas, porque la mencionada señora vino a Arequipa a seleccionar personal para el hipermercado y supermercado Tottus que abriran en diciembre de este año 2010 en Arequipa. Toda la juventud profesional que estaba en busca de trabajo incluyendome a mi vieron una excelente oportunidad de trabajo , hasta recibimos una llamada TODOS de Tottus para una dizque entrevista perrsonal, al momento de ir a la dizque entrevista personal no fue ninguna entrevista personal sino mas bien un atentado contra la dignnidad de los jovenes profesionales Arequipeños ya que la seleccion fue al estilo de un talk show de cuarta, por descalificacion de postulantes delante de todo el mundo encabezado por la señora de recursos humanos de Tottus que encima trato de modo despectivo a los postulantes. Nosotros creemos que con esta horrible experiencia no nos queden ganas de ir a comprar a Tottus arequipa en diciembre, osea que por culpa de la mencionada señora Tottus perdio mucha juventud profesional (ex-potenciales clientes), ya que en vez de promocionar dicho hipermercado en arequipa lo a denigrado al maximo."
Escuela de Choferes Simón Bolívar está dirigida por estafadores,Escuela de Choferes Simón Bolívar,2010-08-09,"Pueblo Libre,Lima","Educación y Formación,Colegios, Escuelas y Academias",4094," Escribo esta queja con la intención que nadie sufra los abusos de esta escuela de choferes llamada ""Simón Bolívar"". Empezaré por el mal servicio que brindan: autos antigüos, en mal estado y sucios hasta decir basta. Los autos donde dan las clases son una vergüenza, nunca tienen gasolina por lo que perderán tiempo de la misma clase para comprar gasolina, los pedales está desnivelados, el asiento está sumamente gastado y huele a sudor, en conclusión, es un asco. Además de estos inconvenientes con los autos, encima te ponen trabas cuando solicitas cambios en alguna fecha de tus clases por algún problema que tengas, para luego cobrarte la multa que se les da la gana. Cuando quieres reclamar con el administrador, no te dan información alguna, se burlan de los clientes, te dan nombres falsos solo con la finalidad de cobrar la multa y además, cansarte hasta que se quedan con tu plata de las horas que no fueron dictadas. Somos un grupo de personas jóvenes que cometimos el tremendo error de matricularnos en esta escuela que es una verdadera estafa y que está dirigida por una familia mentirosa, abusiva y estafadora.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_2',124,'0','0'])); Cuídense de no caer en esta escuela que es un engaño a todas luces, al entrar a su página parece todo muy bonito y cuando llegas al sitio resulta que es un sitio de mala muerte, con techo de puerta de cartón y manejado por personas de baja reputación que solo quieren robar tu dinero. Espero les sirva toda esta información y no tengan que pasar por lo que nosotros pasamos. Por favor difundan esta queja a tus amigos."
Ópticas GMO estafadores,Ópticas GMO,2010-04-09,"Lima,Lima","Salud,Ópticas",12768," Trabaje en Ópticas GMO, como jefe de tienda, durante mi estadia en esta empresa fui victima de maltratos por parte del gerente, ademas todos los vendedores y jefes eran obligados a engañar a los clientes ofreciendoles lunas con un baño antireflejo de tres distintas categorias, desde 104 hasta 280 soles. Sin embargo al usuario final siempre se le entregaban las mismas lunas, es decir se le hacia creer que existian tres precios y calidades distintas cuando solo tenian una en toda la cadena, claro que el vendedor en cuestion ganaba mas vendiendo las mas caras, ademas cuando me retire de la empresa me informaron verbalmente que no me pagarian nada y que si deseaba iniciara acciones legales para poder cobrar mi liquidacion por el tiempo trabajado, osea una estafa total, opticas gmo es la peor empresa que existe en el peru, junto con edelnor, no se las recomiendo."
"Nextel y su Internet Móvil Ilimitado, una verdadera estafa",Nextel,2010-03-09,"Lima,Lima","Telecomunicaciones & IT,Internet ISP's",7355," Nextel y su Internet Móvil Ilimitado, una verdadera estafa, en primer lugar su servicio es realmente una Estafa porque de ilimitado no tiene nada, deberia decir que es internet movil con muchas restriccionesl. a veces he estado bajando archivos pequeños a la velocidad de 7,8 kbps, que verguenza, que robo. Despues de seis meses he querido cortar la linea, pero ahora salen que para salirme debo pagarle los s/.210 soles del costo del usb-modem, porque de acuerdo al contrato, con letras pequeñas, que si uno se retira antes de los doce meses , ojo otra clausula que no la menciona Nextel al momento de ofrecerle el equipo y firmar el contrato. es el pago por la diferencia del costo segun ellos de $100, porque al firmar contrato como linea postpago he pagado $30. que buen amarre o mejor dicho que manera de agarrarlo al cliente por un año. en sus modulos de venta en metro o tottus ellos ofrecen el equipo a menos de 50% del costo. que buena agarrada. estoy tratando de transferir equipo y linea a otra persona para cumpllir esos seis meses. Al menos beneficiare en algo por tomar el servicio realmente por seis meses"
Ripley Publicidad Engañosa,Ripley,2010-08-31,"Lima,Lima","Tiendas y Comercio,Tiendas Departamentales",7925," El pasado Sábado 14 Agosto, Ripley publicó un aviso en el diario El Comercio promocionando la venta de un TV Led Samsung 40'' a X precio más la entrega de un Cheque de descuento Samsung por S/. 300 soles a hacerse efectivo en la compra de otro producto de la misma marca. El domingo 15 Agosto fui a Ripley del Jockey Plaza a comprar el referido TV más un home theater sobre el cual haría efectivo el cheque de descuento que debían entregar y me tope con la sorpresa que tal promoción era falsa. Hablé con un par de representantes de la tienda (nivel medio)ya que no querían comunicarme con el Gerente del área y la respuesta fue simple : ""No existe tal promoción y por ende no se la haremos efectiva así haya salido publicada en El Comercio"". Obviamente dejé mi reclamo escrito en servicio al cliente para dejar constancia que me acerqué a tienda y no quisieron venderme la promoción anunciada el día previo. Todo ello para adjuntarlo en la demanda que finalmente formulé ante Indecopi. No podía creerlo, como podían negar una promoción anunciada a página entera, impar, a full color, en un diario de circulación nacional como es El Comercio, cuyo tiraje promedio un día sábado es de 180,000 ejemplares. eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_0',124,'0','0'])); Lo peor es que quisieron hacerme creer que habían emitido un fe de erratas, pero al preguntar por el diario, la fecha y página de tal publicación no supieron que responder. Adivinen...: la semana pasada, varios días después de los hechos, he recibido carta de Ripley donde me ofrecen la promoción que no quisieron hacer efectiva en Tienda. Ofrecimiento formulado después que tomaron conocimiento de mi denuncia ante Indecopi.  No se necesita ser abogado para saber que si un anunciante comunica a través de un medio masivo, una promoción que no cumple (caso similar a helados Donofrio), está cometiendo un delito de Competencia desleal en la modalidad de publicidad engañosa. He invertido cerca de S/. 60 soles entre la denuncia y varias copias a color del aviso publicitario materia de reclamo además de unas 4 horas de mi trabajo, en las 2 visitas que hecho a Indecopi para presentar esta denuncia pero me siento satisfecho porque estoy haciendo prevalecer mis derechos. En Indecopi recibí una excelente atención e incluso las felicitaciones del caso, ya que son muy pocas las personas que se TOMAN LA MOLESTIA de invertir su tiempo y algo de dinero en hacer lo justo. Lastimosamente no hay una cultura de queja en nuestro país. Sólo espero que Indecopi apliqué las sanciones legales respectivas, ya que dejando de lado la subjetividad de mis comentarios, lo cierto y totalmente OBJETIVO es que aquí hay un Anunciante que publicó una promoción (en un medio masivo) que no cumplió. "
"Es Salud, inexplicablemente rechazan mi referencia",Es Salud,2010-08-31,"Lima,Lima","Salud,Hospitales y Clínicas",2572," Soy paciente del Policlinco Pablo Bermudez. Me diagnosticaron gastritis crónica y helicobacter pilory. Recibí tratamiento por 14 dias, una parte de los medicamentos me dió el seguro y otros tuve comprarlos. Al volver a consulta, luego de concluido mi tratamiento el médico ordenó que me realice el TEST DE ALIENTO. Según mi hoja de referencia, lo único que requiero un test para comprobar la eficacia de mi tratamiento. Nada mas. Desde el Hospital Nacional Rebagliati, con referencia 700827029 RECHAZAN la solicitud de referencia sorulada por el dr. Javier Palomino, argumentando; 1) que estoy mal registrado, 2) mi referencia no corresponde al nivel del centro de destino y 3) que el test no procede debido a que soy paciente sintomático, es decir que aun no sido tratado. Es decir de Es Salud, a los asegurados nos buscan argumentos descaballedos para negarnos la atención. INEXPLICABLE.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_2',124,'0','0']));"
"Pizza Hut, fetuchinis a lo alfredo sin jamon no son a lo alfredo",Pizza Hut,2010-08-31,"Lima,Lima","Restaurantes, Bares y Otros,Comida rápida",5386," El dia 30 de agosto acudi a un restorante de Pizza Hut en el jockey plaza a las 8 de la noche aproximadamente para poder disfrutar de una rica pasta des pues de un pequeño viaje que tuve y extrando la comida que me gusta. Asi que pedi los famoso fetuchinis a lo alfredo que como todos los que hemos comido este plato sabes que es una deliciosa salsa blanca con jamon y queso pamesano, pues bien eso es lo que pedi y la atencion fue muy breve pero que sorpresa me di cuando vi mi plato, efectivamente eran fetuchinis pero no tenia jamon cosa que me sorprendri por que la salsa a lo alfredo tiene jamon, cuando le pregunte a la señorita me dijo que el jamon tiene una costo adicional y que puede escojer tambien o champiñones o alcachofa, pero la verdad mi incomodidad fue muy grande por que no me espere esta ridicules de parte de Pizza Hut, asi que le dije a la señorita que le añada el jamon por que los fetuccinis a lo alfredo son con jamon no asi, asi que fue a la cocina a servirlo cuando regreso trajo un plato con 4 pedacitos de jamon que estaban muy acultos en la poca salsa a blanca que me sirvieron ademas de estar fria, asi que la señortita tuvo que ir a calentarlo nuevamente, la verdad comi con mucho fastidio ya que senti una mala atencion por parte de el area de concina que no tiene el nivel adecualdo para dar una buen producto de calidad tal vez les parece poco lo que se paga y por eso sirven como si me estubieran regalando la comida, particulamente para mi es un insulto y una falta de respeto con decir que la crema de la pasta era tan poca que no termine mis fetuchinis y tengan en cuenta que no fuero muchos fetuccinis los que me sirvieron, no les pido que rebalce el plato pero ya lo de ayer fue un exeso de parte de es famosa cadena de restaurants y fast food, pero de famosa ya va a pasar si siguen dado este tipo de atecion. creo que deberian de tomar en cuenta el control de calidad de su atencion y productos, no hay un buen control de las raciones de los platos que sirven y tomar en cuenta que el cosumidor tiene claro los nombre de platos tradicionales y uno de la mas conocidos en salsas es la salsa a lo alfredo la bognesa y alpesto que tiene nombre deberian conciderar contrar a un profesional en la cocina "" un chef "" que no distorciones los platos ya conocidos por los pueruanos. Les doy la pauta para que aprendan a cocinar . INGREDIENTES.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_1',124,'0','0'])); ½ kilo de fettuccini 200 gramos de jamon ingles en tiras 90 gramos de mantequilla sin sal 1 taza de crema de leche sal y pimienta blanca ( al gusto) 1 pizca de nuez moscada 150 gramos de queso parmesano rallado PREPARACION. Cocer los fettuccini y escurrir. Aparte, en una sarten poner la mantequilla y la crema de leche a fuego lento. Cocer hasta que se derrita la mantequilla y se forme burbujas en la mezcla. Calentar un par de minutos mas. Agregar el jamon ingles en tiras, sal, pimienta y nuez moscada. Sacar del fuego. Poco a poco agregar el queso revolviendo parmesano sin dejar de remover hasque que todo quede bien unido. (No dejar que se forme burbujas para que el queso no forme grumos y se ponga duro). Verter la salsa encima de los fettuccini en la olla. Revolver con cuidado y a fuego lento de 2 a 3 minutos hasta que quede bien mezclando. Espolvorear queso parmesano rallado."
Trámite revalidación de brevete,MTC,2010-08-23,"Lima,Lima","Gobierno y Política,Ministerios y Secretarías",7204," Definitivamente el dichoso curso de reforzamiento OBLIGATORIO para poder revalidar la licencia de conducir, es una reverenda burocratica perdida de tiempo ademas que ni el propio ministerio de transportes en su portal web brinda informacion respecto a este tramite ni que institucion AUTORIZADA POR ELLOS la dicta. Ante tanta desinformacion uno debe recurrir a los jaladores que pululan en las puertas de los alrededores del ministerio, estos haciendo uso de un extraordinario poder de convencimiento, te convencen y jalan a estos centros que brindan el curso,te palabrean que son tantas horas (13 para brevete A-3) y que esto y que lo otro,pero que ellos al estar ""conectados"" y por una cifra adicional (100% de la tarifa normal) te ""abreviaran"" el tramite,bueno que te llevan a una oficinita te recepcionan todos los documentos,esperan hacer un grupo de 6 incautosy te conducen al dichoso centro instructor (QUICAM S.A.C.) al llegar al local estos fingen que no tienen nada que ver con los jaladores y que cualquier promesa ofrecida por ellos no sirve,es decir que se hacen los desentendidos,los muy pendejos.el dichoso centro no es mas que un mugroso cuarto con carpetas todas viejas sin ventanas y una pizarra que ya se cae a pedazos,el ""profesor"" del curso un tipo que no es mas que un mal comediante y que mas se dedica a burlarse del fisico de los pobres incautos,que ha impartir algun curso.llegue a contar 55 personas en ese tugurio de cuarto haciendo matematicas simples 55 x 120 = S/.6,600 soles en las dos horas que duro la charla,seguimos con las matematicas S/.6,600 (un grupo) por (calculo que habrian llegado 5 en todo el dia) serian S/.33,000 por dia al mes la cifra seria S/.660,000 asombroso y fabuloso negocio- pero quienes realmente se benefician de todo esto? acaso no es la misma gente del ministerio que otorga la autorizacion a estos centros? de cuanto es la tajada que le toca a ellos?---todo esto no es mas que una MISERABLE MAFIA que busca exprimir hasta el ultimo centavo a los sufridos conductores,una MAFIA muy bien estructurada desde el ministerio de transportes al no brindar estos la suficiente TRANSPARENCIA de informacion de los tramites a seguir,ni la lista actualizada de los centros medicos,ni los centros que dan los cursos o charlas. En fin fue una HORRIBLE EXPERIENCIA y una inspeccion en carne propia a estos sitios donde reina la INFORMALIDAD,DESORDEN,CAOS y la gran mafia y cartel de pseudo institutos. Me niego a ser un complice mas con mi silencio. Esto solo puede pasar en un pais como este, me decepciona ser PERUANO.Por todo esto digo en voz fuerte a p e s t a n !!!!!!"
Mibanco explotadores en su call center,Mibanco,2010-08-20,"Lima,Lima","Dinero y Finanzas,Bancos",4615," El peor sitio para trabajar Mibanco con su disque Call center de cobranzas CONECTA tratan a sus trabajadores peor que perros .... PRIMERO: Evaden las leyes peruanas porque hacen trabajar a sus trabajadores asi esten enfermos no aceptan descansos medicos lo cual es ilegal ..te hacen recuperar dia no trabajadado asi traigas tu justificacion medica de descanso . Segundo : Hacen trabajar a sus trabajadores horas extras que no son pagadas con la respuesta de generas mas recupero de su cartera morosa ..lo cual deberian pagar porque trabajar horas extras evaden nuevamente las leyes . Tercero: humillan a sus trabajadore dandoles maltratos de parte de sus supervisoras .eval(ez_write_tag([[580,400],'apestan_com-medrectangle-4','ezslot_1',124,'0','0'])); En conclusion es el peor sitio para trabajar no se los recomiendo si ven anuncios en los portales como computrabajo o bumeran solicitando personal de teloperadores de cobranza exactamente este es su correo : reclutamiento@conecta.com.pe ni se les ocurra enviar su cv se van a arrepentir . ruc de empresa abusadora 20516865190"
"Zofratacna, pésimo servicio en la Gerencia de Negocios",Zofratacna,2010-08-19,"Tacna,Tacna","Tiendas y Comercio,Otros",2959," Fuimos a Zofratacna para preguntar sobre posibilidades de inversión en Tacna y me derivaron con el Gerente de Negocios, que se llama O. G. En su oficina vi que trataba con desdén y desprecio a unas personas humildes que fueron a consultarle algo. El tipo se daba aires de diva de hollywood. Cuando finalmente me entrevisté con él, parece que él tenía sueño y nunca supo explicarme con claridad sobre el valor de los lotes y sobre los servicios de agua y luz. Cuando consulté con mi asesor, vi que ese gerente me estaba vendiendo mentiras de la zona franca, si no fuera por mi asesor iba a descubrirlas solo después de instalado y embaucado! Mi consejo es que no le crean nada a ese funcionario."
"Ripley, robo, pésimo control de calidad",Ripley,2010-08-17,"Lima,Lima","Tiendas y Comercio,Tiendas Departamentales",4435," Primero me robaron en caja ""cobrándome"" por separado ""dos veces"" el mismo par de zapatos! cuando emití mi queja a Ripley... ""verificaron"" que no sea ""yo"" la mentirosa ante sus cámaras... ni siquiera me pidieron disculpas al ""verificar"" este hecho... me quejé y luego me mandaron una carta ""tipo"" a casa... me sentí totalmente vejada. A mi hijo le robaron el celular en los cambiadores, dejó su celular en el asiento y ya en la puerta de salida general de cambiador recuerda que lo dejó (no había gente!!) y cuando entra al cambiador no estaba!! le preguntó al que cuida dentro y le dijo: ""no he visto nada"" : increible!! Este sábado 14 de Agosto fui a comprar una lap top y demoraron cerca de 1/2 hora en traerla después de haberla ya pagado... en la espera y/o mientras la prendían: ""alguien"" abrió mi cartera (que la tenía colgada en la espalda: mochila), y me sacó mi blackberry!!!! apenas me di cuenta fui a seguridad en la puerta a reclamar y las cámaras? le dije: ""apuntan solo a caja"" ""ay, acá entra mucha gente""... ""el que le robó su celular ya se debe haber ido"" me dijo, vaya y reclame en el 2 piso... allí esperé cerca de más de 1/2 hora!! y no pudieron decirme nada que me hiciera sentirme mejor... lo peor me pidieron mis datos... y entre ellos la srta. me dijo me da su número de celular? plop!! les cae bien el nombre de ""Ripley""...mejor compremos en la calle!! cuidan sus cajas... su ropa... pero al cliente que hace que ellos existan... nada!!! nos cobran seguro para asegurarse y por que no pagan un seguro ellos para este tipo de delincuencia que ellos ""permiten"" en sus tiendas!! debería haber seguridad como en otros establecimientos que parecen ""angeles"" cuidando no solo sus productos: sino ""sus clientes"". Ustedes Ripley saben perfectamente quienes son los rateros y no hacen nada!!! por los clientes... pero si les cojen algo!! si actúan!!! Esto pasó en el Ripley de Miraflores.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_4',124,'0','0'])); Hace como 20 días atras... en el Ripley de Surco (primavera) salí hacía el centro comercial que está dentro, yo llevaba un saco puesto que compre el año pasado!! y sonó el sistema de seguridad... y supuse de hecho que suele quedarse a veces un metal que viene dentro de una telita cocido como si fuera la talla y/o la marca... lo que comenté al de seguridad de lo más tranquila... el que seriamente me miraba y saben que?? me dijo: ""sáquese el saco""!! por supuesto que hice caso omiso en ""todo sentido"" a su malcriadez... y busqué yo misma ese sistema que ""ellos"" mismos no lo ""quitan"" lo arranqué en su cara y se lo di... ""cero criterio""!! He comprado prendas como casacas que los cierres en tres cerradas se convierten en inservibles!! algunas en la primera!! Prendas que las costuras a la segunda usada: se descocen!! El control de calidad está por los suelos... He tenido que peliar por mi regalo cuando hay ""regalos por promoción"" ... me pregunto? quién se los queda? También antes me incluyeron el cobro de un seguro de vida, sin consultarme!! por supuestoque hice que lo anularan. Hoy cobran un seguro por tarjeta: obligatorio!!!! Y esto es solo lo que me pasó a mi... escucho tanto más de otras personas. Ripley: los peruanos necesitamos ""calidad"", ""buen trato"" y ""seguridad"" no se trata de que solo uds. ganen dinero, de que solo utedes se guarden las espaldas... para eso me voy a Gamarra que ""igual"" de expuesta me siento ahora que voy a sus tiendas: en ""todo"" sentido."
Pago por safetypay en la página de Bembos no sirve,Bembos,2010-02-08,"Lima,Lima","Restaurantes, Bares y Otros,Comida rápida",3261," El día 20 de julio hice un pedido por la página web de Bembos por medio de safetypay, hice el pago por medio de mi tarjeta de débito del BCP y al hacer el correspondiente pago llamé a Bembos para confirmar el pedido. Al llamar me dijeron que no llegaban a salamanca así que me iban a anular el pedido e iban a proceder con la anulación, hablé con la supervisora de turno y me indicó que me iban a hacer la devolución cuando antes, esperé un día completo y al ver que no me hacían la devolución volví a llamar a Bembos a lo cual me pidieron les diera un teléfono para devolverme la llamada, me devuelven la llamada y lo único que me dicen es que estan viendo el caso y le hechan toda la culpa a safetypay. Les he pedido que me envíen el pedido a San Isidro, pero ni eso pueden hacer ya que dicen que el pedido ya fue anulado. Ya han pasado 2 semanas y aún no me hacen la devolución del dinero."
Puente sin construir,Municipalidad de Los Olivos,2010-07-19,"Los Olivos,Lima","Gobierno y Política,General",2471," El puente peatonal de la Primera entrada de Pro en Los Olivos aún no está terminado. LLeva más de medio año y aún sigue a medio terminar. Se dice que es porqu se dieron cuenta de que está siendo mal construido y otra es porque la Primera entrada de Pro será un óvalo de intercambio así como los tantos existentes en Los Olivos. Hasta ahora no se hace nada al respecto y en la municipalidad del sector no dan razón de ella. Mientras tanto, ladrones y ""llenadores"" de buses hacen de las suyas a las afueras del también ilegal mercado Unicachi que atenta contra el espacio y ornato público al tomar veredas y parte de la av. panamericana norte. Sin mencionar que es un foco infeccioso salubre pues depositan cantidades de basura al termino del día en el pie de los muros divisorios."
Mibanco y Call center de cobranzas CONECTA apestan,Conecta,2010-12-07,"Lima,Lima","Dinero y Finanzas,Cobranzas",10343," El peor sitio para trabajar Mibanco con su disque Call center de cobranzas ""CONECTA "". tratan a sus trabajadores peor que perros .... PRIMERO: Evaden las leyes peruanas px hacen trabajar a sus trabajadores asi esten enfermos no aceptan descansos medicos lo cual es ilegal ..te hacen recuperar dia no trabajadado asi traigas tu justificacion medica de descanso . Segundo : Hacen trabajar a sus trabajadores horas extras que no son pagadas con la respuesta de generas mas recupero de su cartera morosa ..lo cual deberian pagar px trabajar horas extras evaden nuevamente las leyes . Tercero: humillan a sus trabajadore dandoles maltratos de parte de sus supervisoras .eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_2',124,'0','0'])); En conclusion es el peor sitio para trabajar no se los recomiendo si ven anuncios en los portales como computrabajo o bumeran solicitando personal de teloperadores de cobranza exactamente este es su correo : reclutamiento@conecta.com.pe ni se les ocurra enviar su cv se van a arrepentir ."
¡Cuidado con Internet Nextel!,Nextel del Peru SA,2010-06-27,"Lima,Lima","Telecomunicaciones & IT,Internet ISP's",9867," Estimados Amigos: Cuidado con Internet Nextel , estos señores al principio me trataron con amabilidad y la velocidad de bajada y subida fantastica, incluso cuando llegue al limite de mi plan de 3gb la velocidad de 1500 kbps bajada y 300 kbps subida que tenia entonces.... bajo a 500 kbps bajada y 365 subida , bueno hasta alli no habia problemas y la recepcion de mi usb era de 80 a 90% hasta alli todo bien. Pero despues de tres meses , sacaron las garras, despues de consumir 3gb en ese mes, todo cambio cuando la velocidad cayo de 500kbps.bajada a 125 kbps. y eso si es terrible por que incluso navegar se hace recontra lento y peor aun si la calidad de la señal cae a 70% o 60%, es peor aun. Cuando llamé al servicio técnico descubri muy a parte de que los tecnicos de la empresa son recontra novatos, me daban explicaciones increibles al mas puro estilo telefónica pero estan en la calle, me el problema podría ser virus, firewalls cargados,explorador, etc, felizmente soy tecnico de internet y en esos terminos no me van a ganar. Primero que ellos no cuentan con que uno sabe medir la velocidad de bajada y subida Link para que lo chequeen.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_3',124,'0','0'])); Primero me indicaron que si ya pase mi plan de 3gb mensuales, la velocidad descenderia a 500 kbps, pero no solo de bajada como antes sino que sumados bajada y subida osea 150kbps + 300kbps igual 450 y alli estan los 500 kbps que ofrecen (pucha no se pasen, estan locos) ni ellos navegarian a una velocidad asi. Claro allí recien te dicen que en su folleto ellos solo aseguran el 10% de lo que te ofrecen, y es cierto, eso dice el folleto. Pero si eso sucediera todos navegarian con 150 de bajada y 300 de subida en todo nivel, osea que si usas youtube estas frito o navegas en paginas con contenidos multimedia ya fuiste, esta porqueria con la justa sirve para facebook y correo electronico con la justa. Ahora logicamente me sugurieron que me pase al plan de 10gb. mensuales, claro pagando 100 soles mas, osea 250 soles mensuales..imaginense (que se los pague su abuela). Estan locos encima de caro, su estrategia apunta a que la gente se queje y luego los pasen a un plan mayor, que buena estrategia de venta. Mas feo que el Gurú de internet que no tiene nada de Hindú,más bien parece un pata peruano blanquiñoso, teñido con betún. Desde allí esta el engaño y vaya forma de engañar a la gente. Pero no son solamente ellos sino he visto casos de otras personas con speedy movil que incluso te dicen que lo cargues con tarjetas 147. Respecto a claro 3g móvil, aun no me he enterado nada, pero Nextel mancha la imagen de esta tecnología y despues de esto quien va a comprar un sistema 3g movil, para nada solo para celulares, prefiero speedy normal o telmex , que no son lo maximo pero al menos rinden algo. Alli no termina todo, espere otra vez a fecha donde me activan el servicio que fue este 23 junio del 2010 y estaba feliz de recibir otras vez mis 3gb. pero hoy estamos a 27 de julio del 2010, y el indicador magicamente marca 2gb, consumidos en 4 dias, imaginense yo dudo muchisimo que haya descargardo tal cantidad de informacion y ahora el indicador me dice que llevo 2gb. Ahora bueno , ya estoy frito por que tengo contrato por seis meses, y no puedo retirarme sino me cobrarían un mes por abandono de contrato mas los otros meses de un solo cocacho, en pocas palabras lo use o n,o debo pagar, asi que me quedan 3 meses con esto. Bien ya que no puedo hacer nada, al menos existen los medios de internet para alertarles que este servicio no es recomendable a menos que solo lo uses para abrir tu corre y solo leerlo , por que si descargas cosas como fotos o video olvidate, mejor te vas a la cabina publica. El Stress que te generara este servicio para que no se consuman tus gb, no te dejaran tranquilo, peor si de gusta el ares o itunes, pero esta gente no dice nada al respecto, recuerda olvidate de ares,itunes,youtube,descargas de programas de prueba, lo unico que puede servirte es para gente que carga videos en youtube constantemente, pero el comun de las personas no lo hace. Mas descarga cosas que lo que las sube. Por eso y muchas cosas más no compren Internet Nextel esta Navidad!"
